微博id,微博发布时间,发布人账号,微博中文内容,微博图片,微博视频,情感倾向
4.45932E+15,01月10日 22:41,倩米迷,eStar说掰掰姐发烧了，身体不舒服，要给她挡酒、替她喝的ggx，真的太man了是呀，他来到estar还是一个小孩，转眼就快四年了，一直在这里，从未离开。以后就多拜托大家照顾了?,"['https://ww1.sinaimg.cn/orj360/005Oo4Ezly1garuhrffp2j30qo0kjwfi.jpg', 'https://ww1.sinaimg.cn/orj360/005Oo4Ezly1garuhsdvmwj30u01c0juw.jpg', 'https://ww3.sinaimg.cn/orj360/005Oo4Ezly1garuhr4e3gj31900u010e.jpg', 'https://ww1.sinaimg.cn/orj360/005Oo4Ezly1garui5yxpuj30u01hbn1g.jpg']",[],0
4.45933E+15,01月10日 23:32,爱吃肉肉,宝贝有点发烧，快快好起来呦???????,['https://ww4.sinaimg.cn/orj360/6089a09fly1garvxu65kbj20u01b9tf2.jpg'],[],1
4.45933E+15,01月10日 23:22,桐先生的小公主,小仙女都爱发烧烧?,[],[],0
4.45933E+15,01月10日 23:26,极为可爱的人,全身发烫求求千万不要发烧我真的病不起?,[],[],0
4.45932E+15,01月10日 22:42,邻家蒋姐姐a,感觉就是发烧的前兆浑身无力?,[],[],0
4.45932E+15,01月10日 22:55,Leobben,我好难我爸难得要值班？？百年一遇的那种我妈发烧?,[],[],-1
4.45933E+15,01月10日 23:54,虾滑的月圆yu,去年的今天我考试发烧，那天考完回来依旧高烧不退，但那天晚上有你的活动，看完你烧都退了，都好了！@华晨宇yu见你，哪怕是隔着屏幕，对我来说都很幸福了！?,[],[],0
4.45925E+15,01月10日 18:22,尚白白_,可能发烧了意识迷离的时候我在想是不是死亡就和冲瞌睡一样眼睛一闭就嗝屁儿了?,[],[],-1
4.45933E+15,01月10日 23:48,人间有风-,貌似深夜发烧?,[],[],0
4.45932E+15,01月10日 23:02,唐昂唐唐唐糖,太难受了，明天的最后一门考试，偏偏今天发烧生病，工作分析别挂我啊啊啊难受难受难受?,['https://ww1.sinaimg.cn/orj360/005HXt9fly1garv3hy0ngj30u00u00y5.jpg'],[],-1
4.45968E+15,01月11日 22:29,dqrc九b州k酷x游好l棒棒tlhz,cd982很久以前的那个夏天，你在海边第一次牵了我的手。那天的海风很大，我的脸却像发烧似得滚烫。你的手掌很大，和你的笑容一样温暖，抚摸着照片上你青涩模样，嘴角不晋勾起了浅浅的弧度。嗨，亲爱的，我又想你了。无论现在你在哪里，请答应我一定要幸福。小心地将照片放进抽屉，我将你给过最美好回忆?展开全文c,['https://ww3.sinaimg.cn/orj360/ae1d55cdly1gaszrepzmij20df07f750.jpg'],[],1
4.45966E+15,01月11日 21:42,白菜价9-9,飞利浦aux音频线车用3.5mm电脑汽车手机音响线通用公对公耳机双插头发烧友镀银听歌线车载音频手机连接线音箱￥0.00飞利浦aux音频线车用3.5mm电脑汽车手机音响线通用公对公耳机双插头发烧友镀银听歌线车载音?,"['https://ww3.sinaimg.cn/thumb150/9962ef1ely1gasxsawn8dj20m80m8120.jpg', 'https://ww2.sinaimg.cn/thumb150/9962ef1ely1gasxsavqohj20m80m8dki.jpg', 'https://ww1.sinaimg.cn/thumb150/9962ef1ely1gasxsauhfpj20m80m844d.jpg']",[],0
4.45967E+15,01月11日 22:04,蔡徐坤身体健康平平安安,我可能……回家后有点水土不服有点发烧了?,[],[],0
4.45969E+15,01月11日 23:46,别特好我_,结束了投票，我的发烧又反复了，哎?,[],[],-1
4.4597E+15,01月11日 23:57,这里桃子酱PEACH,发烧到39℃但是一看到你的直播就感觉没那么难受了今年是喜欢你的第7年哥哥我永远爱你，2020爱你爱你2020年我们一起继续加油@努力努力再努力x张艺兴#微博之夜#,[],[],1
4.45969E+15,01月11日 23:25,兜兜_莹莹,#小树成长记录#今天下午发烧37.7，现在体温仍然没有恢复正常，持续观察中。?,[],[],0
4.45969E+15,01月11日 23:25,不如就叫没得选,生活中的忙忙碌碌，每一片刻的依偎都显的弥足珍贵且美好，爱你（愿发烧赶紧退去）晚安～@一颗小喻圆_2无锡·江南大学?,[],[],1
4.45968E+15,01月11日 22:33,Ms__hellen,好烦躁。小宝发烧了2萍乡·芦溪县?,['https://ww1.sinaimg.cn/orj360/9617b1d4gy1gaszvx4hc8j21ho1zkhdy.jpg'],[],-1
4.45968E+15,01月11日 22:43,咕噜七格格,染上了一累就会发烧的臭毛病。。。。。?,[],[],-1
4.45966E+15,01月11日 21:42,超级优惠,飞利浦aux音频线车用3.5mm电脑汽车手机音响线通用公对公耳机双插头发烧友镀银听歌线车载音频手机连接线音箱￥0.00飞利浦aux音频线车用3.5mm电脑汽车手机音响线通用公对公耳机双插头发烧友镀银听歌线车载音?,"['https://ww4.sinaimg.cn/thumb150/9962ef1ely1gasxues3odj20m80m8120.jpg', 'https://ww2.sinaimg.cn/thumb150/9962ef1ely1gasxueuspdj20m80m8dki.jpg', 'https://ww4.sinaimg.cn/thumb150/9962ef1ely1gasxuevzydj20m80m844d.jpg']",[],0
4.45967E+15,01月11日 21:51,时光深处的你6120,今天真的好难受，吐了好几次，还一直发烧好难啊，希望明天就好了。?,[],[],-1
4.45969E+15,01月11日 23:26,青岛崔小胖,感冒发烧好难受O绿洲?,['https://ww4.sinaimg.cn/orj360/0068oqKdly3gat1fhejbej30hs0hst9g.jpg'],[],-1
4.45965E+15,01月11日 20:51,青平果世界,《首医大校长饶毅：大学人文教育对人的影响非常小》其中的一些观点比较新颖，“教育评论队长”特摘选出来和各位一起分享、讨论。O网页链接?,['https://ww3.sinaimg.cn/orj360/8b90b14dly1gaswxbkxmcj20jx0baaaj.jpg'],[],0
4.45969E+15,01月11日 23:07,王丁2020,#爱情公寓#我觉得已经播出的四季都挺好看的，除了爱情公寓那个电影，我没看过，听说不怎么样。不过要说最喜欢，我更喜欢第一部了，第一部笑得停不下来来。展博回国，上公交车那段，笑死我，“要么刷卡，要么投币，要么滚蛋”的牛叉公交车司机，展博和婉瑜公家车上相识，并相爱，很沙雕，也很搞笑。?展开全文c,[],[],1
